video_id,human_face_close_up,outdoor_natural_scene_no_humans,presence_of_humans,hands_close_up
1,,,,
2,,,1,
3,,,1,
4,,,,
5,,,1,
6,,,,1
7,,,,
8,,,1,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,1
16,,,,
17,,,,
18,,,1,
19,,,,
20,,,1,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,1,
27,,,,
28,,,,
29,,,,
30,,,1,
31,,,,
32,,,,
33,,1,,
34,,,1,
35,,,,
36,,,,1
37,,,,
38,,,,
39,,1,,
40,,,,
41,,,1,
42,,,1,
43,,,,
44,,,1,
45,1,,,
46,,1,,
47,,1,,
48,,,,
49,,,1,
50,,,,
51,,,,
52,,,,
53,,,,
54,,1,,
55,,,,
56,,1,,
57,,1,,
58,,,1,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,1,,
65,,,,
66,,,1,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,1,
74,,,1,
75,,,1,
76,,1,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,1,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,1,
96,,,,
97,,,1,
98,,,,
99,,,1,
100,,,1,
101,,1,,
102,,,,
103,,1,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,1,,
111,,1,,
112,,1,,
113,,,,
114,,,,1
115,,,,
116,,,,
117,,,,
118,,,,
119,,,1,
120,,,,
121,,,,
122,1,,,
123,1,,,
124,,,1,
125,,,,
126,,1,,
127,,,,
128,1,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,1,,
144,,,,1
145,,,1,
146,,,,
147,,,,
148,1,,,
149,,,,
150,,,,
151,1,,,
152,,,,
153,,,,
154,,,,
155,,,1,
156,,1,,
157,,,1,
158,,,,
159,,,1,
160,,,1,
161,,,,
162,,,,
163,,1,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,1
171,,1,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,1
177,1,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,1,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,1,,
190,,,,
191,,,,
192,,,,
193,,,1,
194,,,1,
195,,,,
196,,,,
197,,,1,
198,,,,
199,,,,
200,,,1,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,1
209,,,,1
210,,,1,
211,,,1,
212,,,,
213,,,,
214,1,,,
215,,,1,
216,,1,,
217,,,,
218,,,,
219,,,,
220,,,,
221,1,,,
222,,,1,
223,,,1,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,1,,,
235,,,1,
236,,,,
237,,,1,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,1
244,,,1,
245,,,,
246,,,1,
247,,,,
248,,,1,
249,,1,,
250,,,,
251,,1,,
252,,,,
253,,,,
254,,,,1
255,,,,
256,,,1,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,1,
270,,,1,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,1,,
278,,,,
279,,,,
280,,1,,
281,,,1,
282,,,,
283,,,,
284,,1,,
285,,,,
286,,,,
287,,,1,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,1,
299,,1,,
300,,,,
301,,1,,
302,,,,1
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,1,,,
318,,,,1
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,1
324,,1,,
325,,,,
326,1,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,1,,,
337,,1,,
338,,1,,
339,,,1,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,1
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,1,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,1,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,1,,,
368,,,,
369,,,1,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,1,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,1,,,
384,,,,
385,,,,
386,,,,1
387,,,,
388,,,,
389,,,,1
390,,,,1
391,,,,
392,,,1,
393,,,,
394,1,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,1
407,,,,
408,,,1,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,1
423,,,,
424,,,,1
425,,,,
426,,,,1
427,,,,
428,,,,
429,,,,
430,,,,
431,,1,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,1,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,1
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,1
452,,,,1
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,1,
461,,,1,
462,,1,,
463,,,,
464,,,,
465,,1,,
466,,,,1
467,1,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,1,
477,,,,1
478,1,,,
479,,1,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,1,,,
492,,,,
493,,,,
494,1,,,
495,,,1,
496,,,,
497,,,,
498,,,,
499,1,,,
500,,,,
501,,,,1
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,1,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,1,,,
524,,,1,
525,,,,
526,,,,1
527,,1,,
528,,,,
529,1,,,
530,,,,
531,1,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,1,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,1,
545,,,,
546,,,,
547,,,,1
548,,,,
549,,,,
550,1,,,
551,,1,,
552,,1,,
553,,1,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,1,
561,,,,
562,,,,1
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,1,
580,,,1,
581,,,,
582,,,,
583,,1,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,1,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,1
594,,,,
595,,,,
596,,,,1
597,,1,,
598,,,,
599,,,,
600,,,,
601,,,,
602,1,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,1,,
610,,,,
611,,,1,
612,,,,
613,,,,
614,,,,
615,,,,
616,,1,,
617,,,,
618,,,,
619,1,,,
620,,,,
621,,,,
622,,,,
623,1,,,
624,,,,
625,,,,
626,,,,
627,,1,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,1,,
633,,,,
634,,,1,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,1,,
647,,,,
648,,1,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,1,
658,,,,
659,,,1,
660,,,1,
661,,1,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,1,,
667,,,,
668,,,,
669,,,,
670,,1,,
671,,,,
672,,,,
673,,1,,
674,,,,
675,,,,
676,1,,,
677,,,,
678,,,,
679,,,,
680,,1,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,1,
689,,,,
690,,,1,
691,,,,
692,,,1,
693,,,,
694,,,,
695,,,,
696,,,1,
697,,,,
698,,,1,
699,,,,
700,,,,
701,,,,
702,,,1,
703,1,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,1,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,1,
714,,1,,
715,,1,,
716,,1,,
717,,,,
718,,,,
719,,,,
720,,1,,
721,,,,
722,,,1,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,1,
728,,,1,
729,,,,
730,,,,
731,,,,
732,,,1,
733,,1,,
734,,,,
735,,,,
736,,1,,
737,,,,
738,,,,1
739,,,,
740,,,,
741,,1,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,1,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,1,,
759,,,,
760,,,,
761,,1,,
762,,,,1
763,,1,,
764,,,,
765,1,,,
766,,,,
767,,,,
768,,1,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,1,,,
775,,,,
776,,,,1
777,,,,
778,,,,
779,,1,,
780,,,,
781,,,,1
782,,,,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,,,,
799,1,,,
800,,,1,
801,,,,
802,,,,
803,,,,
804,,1,,
805,,,,
806,,1,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,1,
813,1,,,
814,,,,
815,,,,
816,,,,
